Count of section,Column Labels,,
Row Labels,1,2,Grand Total
198708,93,120,213
198709,132,117,249
198711,83,203,286
198712,137,209,346
198802,167,250,417
198803,57,23,80
198806,81,223,304
198808,136,183,319
198809,127,72,199
198811,120,79,199
198812,243,118,361
198902,157,133,290
198903,139,74,213
198905,106,234,340
198907,143,192,335
198908,238,87,325
198910,90,83,173
198911,119,58,177
198912,142,199,341
199002,113,80,193
199003,155,62,217
199005,107,80,187
199007,125,62,187
199008,165,77,242
199010,117,232,349
199011,115,73,188
199012,63,161,224
199102,116,139,255
199103,43,56,99
199105,58,50,108
199107,144,79,223
199108,69,64,133
199110,98,59,157
199111,90,72,162
199112,66,81,147
199202,84,57,141
199203,69,72,141
199205,100,135,235
199207,117,168,285
199208,93,89,182
199210,147,76,223
199211,59,189,248
199212,114,78,192
199302,126,58,184
199303,67,73,140
199305,78,121,199
199307,208,49,257
199308,85,123,208
199309,122,45,167
199311,66,40,106
199312,84,74,158
199402,307,99,406
199403,61,64,125
199405,80,53,133
199407,122,95,217
199408,108,62,170
199409,103,49,152
199411,115,60,175
199412,102,54,156
199502,81,55,136
199503,86,75,161
199505,78,74,152
199507,105,53,158
199508,84,87,171
199509,138,50,188
199511,105,79,184
199512,63,78,141
199601,77,62,139
199603,73,43,116
199605,107,44,151
199607,143,62,205
199608,83,51,134
199609,43,46,89
199611,85,46,131
199612,66,46,112
199702,96,69,165
199703,64,53,117
199705,51,38,89
199707,62,106,168
199708,74,105,179
199709,87,58,145
199711,110,48,158
199712,60,48,108
199802,96,73,169
199803,94,72,166
199805,127,44,171
199807,125,44,169
199808,79,47,126
199809,58,47,105
199811,71,45,116
199812,72,97,169
199902,100,111,211
199903,60,40,100
199905,89,53,142
199906,80,101,181
199908,52,38,90
199910,58,96,154
199911,62,38,100
199912,65,60,125
200002,108,92,200
200003,64,63,127
200005,106,58,164
200006,111,59,170
200008,57,54,111
200010,62,49,111
200011,90,63,153
200012,67,64,131
200101,104,52,156
200103,92,88,180
200105,63,94,157
200106,119,62,181
200108,42,56,98
200110,54,65,119
200111,83,152,235
200112,103,83,186
200201,109,72,181
200203,63,66,129
200205,101,65,166
200206,68,86,154
200208,59,57,116
200209,79,98,177
200211,93,61,154
200212,130,61,191
200301,128,43,171
200303,70,100,170
200305,98,91,189
200306,94,112,206
200308,66,128,194
200309,84,68,152
200310,85,58,143
200312,115,51,166
200401,123,59,182
200403,81,67,148
200405,48,109,157
200406,133,36,169
200408,77,63,140
200409,99,54,153
200411,68,56,124
200412,42,57,99
200502,78,63,141
200503,101,116,217
200505,83,63,146
200506,142,40,182
200508,113,55,168
200509,90,39,129
200511,81,87,168
200512,71,48,119
200601,60,49,109
Grand Total,14337,11981,26318
